canonical_order,sequence,entry_type,loader_frame_path,loader_annotation_path,staged_sequence_root,acquired_source_root_or_na,real_image_count,ground_truth_rows,ground_truth_sha256,authorized_tracker_execution,notes
77,Shaking,METADATA_ONLY_GT_STUB,Shaking/img,Shaking/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Shaking,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
78,Singer1,METADATA_ONLY_GT_STUB,Singer1/img,Singer1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Singer1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
79,Singer2,METADATA_ONLY_GT_STUB,Singer2/img,Singer2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Singer2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
80,Skater,METADATA_ONLY_GT_STUB,Skater/img,Skater/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Skater,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
81,Skater2,METADATA_ONLY_GT_STUB,Skater2/img,Skater2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Skater2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
82,Skating1,METADATA_ONLY_GT_STUB,Skating1/img,Skating1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Skating1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
83,Skating2_1,METADATA_ONLY_GT_STUB,Skating2-1/img,Skating2-1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Skating2-1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
84,Skating2_2,METADATA_ONLY_GT_STUB,Skating2-2/img,Skating2-2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Skating2-2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
85,Skiing,METADATA_ONLY_GT_STUB,Skiing/img,Skiing/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Skiing,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
86,Soccer,METADATA_ONLY_GT_STUB,Soccer/img,Soccer/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Soccer,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
87,Subway,METADATA_ONLY_GT_STUB,Subway/img,Subway/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Subway,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
88,Surfer,METADATA_ONLY_GT_STUB,Surfer/img,Surfer/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Surfer,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
89,Suv,METADATA_ONLY_GT_STUB,Suv/img,Suv/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Suv,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
90,Sylvester,METADATA_ONLY_GT_STUB,Sylvester/img,Sylvester/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Sylvester,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
91,Tiger1,METADATA_ONLY_GT_STUB,Tiger1/img,Tiger1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Tiger1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
92,Tiger2,METADATA_ONLY_GT_STUB,Tiger2/img,Tiger2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Tiger2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
93,Toy,METADATA_ONLY_GT_STUB,Toy/img,Toy/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Toy,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
94,Trans,METADATA_ONLY_GT_STUB,Trans/img,Trans/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Trans,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
95,Trellis,METADATA_ONLY_GT_STUB,Trellis/img,Trellis/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Trellis,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
96,Twinnings,METADATA_ONLY_GT_STUB,Twinnings/img,Twinnings/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Twinnings,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
97,Vase,METADATA_ONLY_GT_STUB,Vase/img,Vase/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Vase,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
98,Walking,METADATA_ONLY_GT_STUB,Walking/img,Walking/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Walking,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
99,Walking2,METADATA_ONLY_GT_STUB,Walking2/img,Walking2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Walking2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
100,Woman,METADATA_ONLY_GT_STUB,Woman/img,Woman/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Woman,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
