pair_id,side,sequence,interval_start,interval_end,condition,selected_refinement_path,physical_skip,status,tracker_mode,ablation_control,source_row_sha256_canonical_lf,snapshot_frame,start_snapshot_sha256,restored_start_snapshot_sha256,start_restore_exact,baseline_end_snapshot_sha256,continuation_restored_snapshot_sha256,continuation_restore_exact,interval_output_frames,tracked_branch_frames,official_initialization_frames_zero_contribution,raw_jsonl_first_line,raw_jsonl_last_line,raw_jsonl_external_path
R3-D07,primary,Shaking,1,25,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,1,d81a83b864bbee9766278bd37a8ec517c3c3776a5d485d35d0f78b12b24e2db1,d81a83b864bbee9766278bd37a8ec517c3c3776a5d485d35d0f78b12b24e2db1,True,e0ec045bbde3390dc31429f9bcb8b584383dd9603e03298454c7f42a52acd3fb,e0ec045bbde3390dc31429f9bcb8b584383dd9603e03298454c7f42a52acd3fb,True,25,24,1,7029,7196,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D08,control,CarScale,81,105,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,80,f6f901eab8e04d6affc10d97471cd43dd3effcd1ed19de6d1da10343e2e31895,f6f901eab8e04d6affc10d97471cd43dd3effcd1ed19de6d1da10343e2e31895,True,28b1fa275a347f2d97ba9aa707a35f0997c2cd70868cc5abc5851332c12351cb,28b1fa275a347f2d97ba9aa707a35f0997c2cd70868cc5abc5851332c12351cb,True,25,25,0,2038,2212,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D08,primary,CarDark,121,145,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,120,a05c58b2cb055fcfc7fce5b8f1e41d1388f148d4949151b7546db20e00bd27dc,a05c58b2cb055fcfc7fce5b8f1e41d1388f148d4949151b7546db20e00bd27dc,True,60ec72435e948e50b23ceee9d57ba87eab1d4c595c88883c231f6f4ea80d5543,60ec72435e948e50b23ceee9d57ba87eab1d4c595c88883c231f6f4ea80d5543,True,25,25,0,1688,1862,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D09,control,Human7,13,37,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,12,09de967ea616b57ab0ae4f6a4ccd0b82c27991fdded1a611cd4e683b33b6a479,09de967ea616b57ab0ae4f6a4ccd0b82c27991fdded1a611cd4e683b33b6a479,True,1d9ca37a99503334905e9a2642f5ff03c2c2422f8244a96a35421a01eb750a88,1d9ca37a99503334905e9a2642f5ff03c2c2422f8244a96a35421a01eb750a88,True,25,25,0,4334,4508,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D09,primary,Skating1,113,137,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,112,dfe064d4783d0fc90418e33e9124648fcf144b302e2ad3f1262df1d466de922d,dfe064d4783d0fc90418e33e9124648fcf144b302e2ad3f1262df1d466de922d,True,35c9c7191072c2fe8bed1643c6bbb5e3afd9f304a4b78aa5eba7e6a05f39dcca,35c9c7191072c2fe8bed1643c6bbb5e3afd9f304a4b78aa5eba7e6a05f39dcca,True,25,25,0,7708,7882,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D10,control,Woman,193,207,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,192,4ee8d65411fac062d8831a4b579456f4aea22cbcdaf6fbce21aecac15f87551a,4ee8d65411fac062d8831a4b579456f4aea22cbcdaf6fbce21aecac15f87551a,True,da697b38116b442375db4768115a1584e378388bed2bb2432d6192ac8e2137a3,da697b38116b442375db4768115a1584e378388bed2bb2432d6192ac8e2137a3,True,15,15,0,8198,8302,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D10,primary,Subway,31,45,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,30,b100a1d9b77aec9c420a4d6dbfb47779a3b02d79cabcbe25f1e7dc324b505cde,b100a1d9b77aec9c420a4d6dbfb47779a3b02d79cabcbe25f1e7dc324b505cde,True,bf7034b9e741713f39f92c01124afd18121d32a74dbfd3185fbf5303e53ece3a,bf7034b9e741713f39f92c01124afd18121d32a74dbfd3185fbf5303e53ece3a,True,15,15,0,7988,8092,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D11,control,David2,261,285,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,260,dc464d1f50ad1d1334730c629cea0c4b7495f88cccd38a9a0af8596458873cec,dc464d1f50ad1d1334730c629cea0c4b7495f88cccd38a9a0af8596458873cec,True,162620a03ec9dab52faa1ea22b62578b63ecd1ff67e466dd0faf0a2f187204f8,162620a03ec9dab52faa1ea22b62578b63ecd1ff67e466dd0faf0a2f187204f8,True,25,25,0,3088,3262,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D11,primary,Freeman3,245,269,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,244,5e4484533a1bbad28f24f35274e4576031c57ce66f3958ba500d9f5b6c103cfb,5e4484533a1bbad28f24f35274e4576031c57ce66f3958ba500d9f5b6c103cfb,True,c62ba580b3e41f952e38db1b72cae4b73ca964c3471ca58881c86d6bc08e9b12,c62ba580b3e41f952e38db1b72cae4b73ca964c3471ca58881c86d6bc08e9b12,True,25,25,0,3984,4158,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D12,control,Dancer,71,95,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,70,4f98ad6b73e4a291c5086ce1a34f174e1133f3dcb534810e327e78b3efbdaa15,4f98ad6b73e4a291c5086ce1a34f174e1133f3dcb534810e327e78b3efbdaa15,True,20f5060fddf5b946be2c411617fbb3919d0c7b8fe48c3c79272836b7f8df1336,20f5060fddf5b946be2c411617fbb3919d0c7b8fe48c3c79272836b7f8df1336,True,25,25,0,2388,2562,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D12,primary,Singer1,1,25,mlp_only_bypass,mrm1,False,COMPLETE,T1,mrm1_mlp,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,1,db5d5a522e4cc913a49b346a98859217a97551410822378b604512ba616e863e,db5d5a522e4cc913a49b346a98859217a97551410822378b604512ba616e863e,True,04315326d1d45d881a13f40a9203e7a5e422194c108bb2eb5a2a346efda616a1,04315326d1d45d881a13f40a9203e7a5e422194c108bb2eb5a2a346efda616a1,True,25,24,1,7365,7532,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D01,control,David3,195,233,t3_baseline,mrm1,False,COMPLETE,T3,none,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,194,35b44f86b818a3a614977509fd89d8b08931e685ae6a1578568c57b4884a6953,35b44f86b818a3a614977509fd89d8b08931e685ae6a1578568c57b4884a6953,True,922e08c6ab3bd360a0647da87995ad3a28eb92209f4e79f3b9cb47dcbb796854,922e08c6ab3bd360a0647da87995ad3a28eb92209f4e79f3b9cb47dcbb796854,True,39,39,0,6525,6797,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D01,primary,Basketball,397,435,t3_baseline,mrm1,False,COMPLETE,T3,none,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,396,86ddaf4f46257a6647924bdb12f6c7bcb862f69b16805e40c39b4e8604f688fa,86ddaf4f46257a6647924bdb12f6c7bcb862f69b16805e40c39b4e8604f688fa,True,855a262a2df587edd0a995e3ba6f0763404ce7cb8319afcab05633f292ad0870,855a262a2df587edd0a995e3ba6f0763404ce7cb8319afcab05633f292ad0870,True,39,39,0,1,273,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D02,control,Human8,108,126,t3_baseline,mrm1,False,COMPLETE,T3,none,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,107,53339868225c3b38b31abc969a4a5eea373b4f1728792885286071597d56e900,53339868225c3b38b31abc969a4a5eea373b4f1728792885286071597d56e900,True,664085e30b8275465163bdc65fa6b0bcc1fa94d3ef8e92ac50359ba041661250,664085e30b8275465163bdc65fa6b0bcc1fa94d3ef8e92ac50359ba041661250,True,19,19,0,9689,9821,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D02,primary,Bolt,31,49,t3_baseline,mrm1,False,COMPLETE,T3,none,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,30,4e5c1b46adb5414b4de593c482fd714eb27264094c9b3d50935371147dbf4b94,4e5c1b46adb5414b4de593c482fd714eb27264094c9b3d50935371147dbf4b94,True,4c104e5dd8bec0f82a265bf3a23bf30ebe07ecddf26a4880bf8689f315b9eb41,4c104e5dd8bec0f82a265bf3a23bf30ebe07ecddf26a4880bf8689f315b9eb41,True,19,19,0,1093,1225,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D03,control,Liquor,20,44,t3_baseline,mrm1,False,COMPLETE,T3,none,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,19,6ba6b88f82eb910919c40078b801e5587b6ecb033189c6f38d5f6c5dc4225ad4,6ba6b88f82eb910919c40078b801e5587b6ecb033189c6f38d5f6c5dc4225ad4,True,6c17b352228ac43c43a85528c5aa2a3b96e8a6a5473afdef6f954604cd4b3cb5,6c17b352228ac43c43a85528c5aa2a3b96e8a6a5473afdef6f954604cd4b3cb5,True,25,25,0,10921,11095,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D03,primary,Liquor,565,589,t3_baseline,mrm1,False,COMPLETE,T3,none,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,564,898258034f4eca677a5fa5e5534ec8f28b7aa9e533c7a7dfb409ce0853c791d3,898258034f4eca677a5fa5e5534ec8f28b7aa9e533c7a7dfb409ce0853c791d3,True,f1100e7b8b74e2f7e0251ccf3c9e379ee268ae31560a34e637fdef3092b628f3,f1100e7b8b74e2f7e0251ccf3c9e379ee268ae31560a34e637fdef3092b628f3,True,25,25,0,13021,13195,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D04,control,Liquor,60,84,t3_baseline,mrm1,False,COMPLETE,T3,none,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,59,ae5dbde35c4c8e73d66c50b2e0eee7c2a62cae5007667efe90d3748b16a5a5db,ae5dbde35c4c8e73d66c50b2e0eee7c2a62cae5007667efe90d3748b16a5a5db,True,85ac653f4c0537b41b98ab34c1935648d2655ca469d64256c1e6579b0b96dec1,85ac653f4c0537b41b98ab34c1935648d2655ca469d64256c1e6579b0b96dec1,True,25,25,0,11621,11795,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D04,primary,Liquor,106,130,t3_baseline,mrm1,False,COMPLETE,T3,none,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,105,849903653a0660a241d0fed97d378a55a2739aeec4e9a89eb3135f900724f046,849903653a0660a241d0fed97d378a55a2739aeec4e9a89eb3135f900724f046,True,d0aef0fa1ce941d689d82104a8422f74b1482bc5ea8dff89006ac11963000c99,d0aef0fa1ce941d689d82104a8422f74b1482bc5ea8dff89006ac11963000c99,True,25,25,0,12321,12495,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D05,control,Car4,221,245,t3_baseline,mrm1,False,COMPLETE,T3,none,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,220,0480043e70370bdc4ec528f201ac3d9d23f804c5f50e72a8ba4977316c9a91ed,0480043e70370bdc4ec528f201ac3d9d23f804c5f50e72a8ba4977316c9a91ed,True,8ec268070960c7f199c34319cf404f92b59bb8496b720846ebd296dc0c4928c1,8ec268070960c7f199c34319cf404f92b59bb8496b720846ebd296dc0c4928c1,True,25,25,0,2325,2499,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D05,primary,Car4,113,137,t3_baseline,mrm1,False,COMPLETE,T3,none,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,112,00d9842b2192b687369cc9bcc6de2f20049de296682c27ee6ee321d1d30834d5,00d9842b2192b687369cc9bcc6de2f20049de296682c27ee6ee321d1d30834d5,True,e8fcbc4df359a9bd8d8c7cce231ac4cd7d5cebda286d5c4303502f4e02813a88,e8fcbc4df359a9bd8d8c7cce231ac4cd7d5cebda286d5c4303502f4e02813a88,True,25,25,0,1625,1799,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D06,control,Human8,1,25,t3_baseline,mrm1,False,COMPLETE,T3,none,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,1,91ec4e4fc91079afba6c12647884a566b50a37390b1694ae760a30d466755581,91ec4e4fc91079afba6c12647884a566b50a37390b1694ae760a30d466755581,True,78c22e4a8a8705f3192cd4e32359247bea00ce878af2d0a07a178f14e6980fd4,78c22e4a8a8705f3192cd4e32359247bea00ce878af2d0a07a178f14e6980fd4,True,25,24,1,9017,9184,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D06,primary,Jogging_1,150,174,t3_baseline,mrm1,False,COMPLETE,T3,none,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,149,49e4f9d22b35d3fa274147193ca9e48ec106b9b78504067e7b5db517fc72dbb4,49e4f9d22b35d3fa274147193ca9e48ec106b9b78504067e7b5db517fc72dbb4,True,23eaeb81435d15032b18a0ea6f5fe968517427187bc0dab3a31ff46bafdf53c8,23eaeb81435d15032b18a0ea6f5fe968517427187bc0dab3a31ff46bafdf53c8,True,25,25,0,10221,10395,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D07,control,David2,36,60,t3_baseline,mrm1,False,COMPLETE,T3,none,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,35,098b895b17cce0b63dad6dc49dfda73a9f68b8880b36f97588bec5a67b30aaaf,098b895b17cce0b63dad6dc49dfda73a9f68b8880b36f97588bec5a67b30aaaf,True,3bfb3b106550928dc7f2d2d993286ad9039aacfd46ee236348510a44b3410f0a,3bfb3b106550928dc7f2d2d993286ad9039aacfd46ee236348510a44b3410f0a,True,25,25,0,5125,5299,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D07,primary,Shaking,1,25,t3_baseline,mrm1,False,COMPLETE,T3,none,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,1,68780131ba51096d80c9c9601b8240531d9f4bdf21a097ac002a338bc05f5a47,68780131ba51096d80c9c9601b8240531d9f4bdf21a097ac002a338bc05f5a47,True,a236fcf7272a95298f03e5f36d1f9d49694471b7877e14b4b342e16ca7f65a67,a236fcf7272a95298f03e5f36d1f9d49694471b7877e14b4b342e16ca7f65a67,True,25,24,1,13721,13888,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D08,control,CarScale,81,105,t3_baseline,mrm1,False,COMPLETE,T3,none,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,80,866d47063cbfb76ad936df8c4c78bd0e9ea3d9e15f3e3b28b1fc0d311d70e674,866d47063cbfb76ad936df8c4c78bd0e9ea3d9e15f3e3b28b1fc0d311d70e674,True,86bae48540c1a5fcb96e1a239595df45a08eba03ca2890347706503b423b7568,86bae48540c1a5fcb96e1a239595df45a08eba03ca2890347706503b423b7568,True,25,25,0,3725,3899,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D08,primary,CarDark,121,145,t3_baseline,mrm1,False,COMPLETE,T3,none,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,120,9fc4562d8f0d53dd8f1fa766bccd4202187bc8773d9113c0765f77ccbb5436d0,9fc4562d8f0d53dd8f1fa766bccd4202187bc8773d9113c0765f77ccbb5436d0,True,5eb7dddd29eb0ca4168a9a8cddbaed6cf8c33cb6070d458d250a11adf9130b8f,5eb7dddd29eb0ca4168a9a8cddbaed6cf8c33cb6070d458d250a11adf9130b8f,True,25,25,0,3025,3199,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D09,control,Human7,13,37,t3_baseline,mrm1,False,COMPLETE,T3,none,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,12,5d7d006575189ce643f839609908572f48047350e8763051292a8981505a3f1c,5d7d006575189ce643f839609908572f48047350e8763051292a8981505a3f1c,True,c3cc1f815ba7f622f2adb380baef7a87adb554cd2565ef0ea50771f11dc17310,c3cc1f815ba7f622f2adb380baef7a87adb554cd2565ef0ea50771f11dc17310,True,25,25,0,8317,8491,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D09,primary,Skating1,113,137,t3_baseline,mrm1,False,COMPLETE,T3,none,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,112,39d8bc3600e52dd30eee582c848f05a74111f01db690e28b243030b00d390836,39d8bc3600e52dd30eee582c848f05a74111f01db690e28b243030b00d390836,True,68343599b5b4a19b54bd21a333bb8f3bcbe135289786b4093b0b5d4fb94f3cd4,68343599b5b4a19b54bd21a333bb8f3bcbe135289786b4093b0b5d4fb94f3cd4,True,25,25,0,15065,15239,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D10,control,Woman,193,207,t3_baseline,mrm1,False,COMPLETE,T3,none,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,192,a397593f68dec6d40dc0460c0eeea1d775fe851df87107ed9421dcddb78a1454,a397593f68dec6d40dc0460c0eeea1d775fe851df87107ed9421dcddb78a1454,True,03eed6b3f4438bc5309b31b3158eeb5c529df7e322bad53c433bddab981e41b7,03eed6b3f4438bc5309b31b3158eeb5c529df7e322bad53c433bddab981e41b7,True,15,15,0,16185,16289,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D10,primary,Subway,31,45,t3_baseline,mrm1,False,COMPLETE,T3,none,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,30,487d90f5ca7736fb72d658de48e5a1216442e77b1e788c0903de8c94a84939e5,487d90f5ca7736fb72d658de48e5a1216442e77b1e788c0903de8c94a84939e5,True,7496e0a7d70c8f15689934b55dca2ae947a9c4a42dac0ae23dc8dbb0ed1e8fa4,7496e0a7d70c8f15689934b55dca2ae947a9c4a42dac0ae23dc8dbb0ed1e8fa4,True,15,15,0,15765,15869,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D11,control,David2,261,285,t3_baseline,mrm1,False,COMPLETE,T3,none,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,260,3cf19d747ce0527837975212eeb6dba0443685c3dfb0a8c202939e22a4a668d0,3cf19d747ce0527837975212eeb6dba0443685c3dfb0a8c202939e22a4a668d0,True,9f6988ef33cc27b1417fb425582d4f5443cdfb0e0daf01d3aaee770b58a592ed,9f6988ef33cc27b1417fb425582d4f5443cdfb0e0daf01d3aaee770b58a592ed,True,25,25,0,5825,5999,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D11,primary,Freeman3,245,269,t3_baseline,mrm1,False,COMPLETE,T3,none,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,244,ff48fe05086c3c575c3ccc4807d7162b9bcee73f059a15d7d19b4960244610ae,ff48fe05086c3c575c3ccc4807d7162b9bcee73f059a15d7d19b4960244610ae,True,69faf898be495680d7ccf222ae852d6a17864e296a42d157f90c673aa14b2063,69faf898be495680d7ccf222ae852d6a17864e296a42d157f90c673aa14b2063,True,25,25,0,7617,7791,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D12,control,Dancer,71,95,t3_baseline,mrm1,False,COMPLETE,T3,none,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,70,c05f7a41fee3b0864987243b5b3c8c84ad1ac39133ec8f99954eb90db1fe1514,c05f7a41fee3b0864987243b5b3c8c84ad1ac39133ec8f99954eb90db1fe1514,True,0b938e3bc0911c5987da76f8255deb2943900b350bda42ef2dc0589fff372dbe,0b938e3bc0911c5987da76f8255deb2943900b350bda42ef2dc0589fff372dbe,True,25,25,0,4425,4599,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D12,primary,Singer1,1,25,t3_baseline,mrm1,False,COMPLETE,T3,none,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,1,09344d1f8f727643427be2822022cc1526e9164d3576a5428c622658e89de6ae,09344d1f8f727643427be2822022cc1526e9164d3576a5428c622658e89de6ae,True,5098ec48f5e81402db08b6867525cdf3add2a8156ec908a85e3d8bb9f3aa792b,5098ec48f5e81402db08b6867525cdf3add2a8156ec908a85e3d8bb9f3aa792b,True,25,24,1,14393,14560,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D01,control,David3,195,233,t3_template_path_1_zero_contribution,mrm1,False,COMPLETE,T3,mrm1_template1,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,194,35b44f86b818a3a614977509fd89d8b08931e685ae6a1578568c57b4884a6953,35b44f86b818a3a614977509fd89d8b08931e685ae6a1578568c57b4884a6953,True,922e08c6ab3bd360a0647da87995ad3a28eb92209f4e79f3b9cb47dcbb796854,922e08c6ab3bd360a0647da87995ad3a28eb92209f4e79f3b9cb47dcbb796854,True,39,39,0,6798,7070,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D01,primary,Basketball,397,435,t3_template_path_1_zero_contribution,mrm1,False,COMPLETE,T3,mrm1_template1,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,396,86ddaf4f46257a6647924bdb12f6c7bcb862f69b16805e40c39b4e8604f688fa,86ddaf4f46257a6647924bdb12f6c7bcb862f69b16805e40c39b4e8604f688fa,True,855a262a2df587edd0a995e3ba6f0763404ce7cb8319afcab05633f292ad0870,855a262a2df587edd0a995e3ba6f0763404ce7cb8319afcab05633f292ad0870,True,39,39,0,274,546,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
R3-D02,control,Human8,108,126,t3_template_path_1_zero_contribution,mrm1,False,COMPLETE,T3,mrm1_template1,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,107,53339868225c3b38b31abc969a4a5eea373b4f1728792885286071597d56e900,53339868225c3b38b31abc969a4a5eea373b4f1728792885286071597d56e900,True,664085e30b8275465163bdc65fa6b0bcc1fa94d3ef8e92ac50359ba041661250,664085e30b8275465163bdc65fa6b0bcc1fa94d3ef8e92ac50359ba041661250,True,19,19,0,9822,9954,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl
